inst_id,uv_id,inst_name,Phone,email,inst_description
11,4,College of Architecture and Civil Engineering,199-380 -71 78,pir@aastu.edu.et,"Arba Minch University (AMU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
12,4,College of Biological & Chemical Engineering,199-380 -71 78,pir@aastu.edu.et,"Arba Minch University (AMU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
13,4,College of Electrical & Mechanical Engineering,199-380 -71 78,pir@aastu.edu.et,"Ambo University (AU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
14,4,College of Applied Sciences,199-380 -71 78,pir@aastu.edu.et,"Ambo University (AU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
15,5,Haramaya Institute of Technology,025-553-0319,haramaya@haramaya.edu.et,"Ambo University (AU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
16,5,College of Health and Medical Sciences,025-553-0319,haramaya@haramaya.edu.et,"Ambo University (AU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
17,5,College Of Veterinary Medicine,025-553-0319,haramaya@haramaya.edu.et,"Jigjiga University (JGU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
18,6,School of Civil Engineering and Architecture (SOCEA),122-211-3961,irccd@astu.edu.et,"Jigjiga University (JGU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
19,6," School of Mechanical, Chemical & Materials Engineering (SoMCME)",122-211-3961,irccd@astu.edu.et,"Hawassa University (HWU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
20,6,School of Electrical Engineering & Computing (SoEEC),122-211-3961,irccd@astu.edu.et,"Hawassa University (HWU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
21,6,School of Applied Natural Science ,122-211-3961,irccd@astu.edu.et,"Hawassa University (HWU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
22,7,Institute of Technology,158-114-1232 ,info@uog.edu.et,"Hawassa University (HWU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
23,7,College of Agriculture and Environmental Sciences,158-114-1232 ,info@uog.edu.et,"Hawassa University (HWU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
24,7,College of Social Sciences and Humanities (CSSH) ,158-114-1232 ,info@uog.edu.et,"Hawassa University (HWU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
25,8,Arba Minch Institute of Technology,146-881-4986,ictc@amu.edu.et,"Hawassa University (HWU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
26,8, College of Medicine and Health Sciences,146-881-4986,corcom@amu.edu.et,"Adigrat University (AGU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
27,8,College of Natural Sciences,146-881-4986,corcom@amu.edu.et,"Adigrat University (AGU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
28,9,Business and Economics ,011-236--3164,info@ambou.edu.et,"Adigrat University (AGU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
29,10,College of Engineering and Technology,025- 775- 5933,info@jju.edu.et,"Adigrat University (AGU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
30,10,College of Medicine and Health Science,025- 775- 5933,info@jju.edu.et,"Adigrat University (AGU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
31,10,College of Social Sciences and Humanities,025- 775- 5933,info@jju.edu.et,"Wolayita Sodo University (WSU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
32,11,College of Natural and Computational Science,146- 220- 5168,ccmd@hu.edu.et,"Wolayita Sodo University (WSU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
33,11,Medicine and Health Science,146- 220- 5168,oerc@hu.edu.et ,"Wolayita Sodo University (WSU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
